topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop,multiple_choices,multiple_choice_with_letters,multiple_choice_labels
places_country,Eritrea,located in/on physical feature,East Africa,What is the located in/on physical feature of Eritrea?,Danakil Depression,0.0,Where is Eritrea situated geographically?,Is Eritrea located in East Africa?,Is Eritrea located in the Danakil Depression?,What is the capital city of Eritrea?,Which country is located in East Africa?,What is the capital city of the country that Eritrea is located in?,Asmara,What is the population of the capital city of the country that Eritrea is located in?,"Around 963,000",What is the primary language spoken in the capital city of the country that Eritrea is located in?,Tigrinya,What is the primary religion practiced in the capital city of the country that Eritrea is located in?,Christianity,What is the name of the largest church in the capital city of the country that Eritrea is located in?,Enda Mariam Cathedral,"['East Africa', 'Danakil Depression', 'Horn of Africa', 'Red Sea Coast']",A. Red Sea Coast  B. Danakil Depression  C. East Africa  D. Horn of Africa,C
places_country,Tuvalu,currency,Australian dollar,What is the currency of Tuvalu?,Tuvaluan dollar,0.0,Which currency is used in Tuvalu?,Is the currency of Tuvalu the Australian dollar?,Is the currency of Tuvalu the Tuvaluan dollar?,Where is Tuvalu located?,Which country uses the Australian dollar as its currency along with its own?,What is the currency of Tuvalu?,Australian dollar,Which country issues the currency used in Tuvalu?,Australia,What is the capital city of the country that issues the currency used in Tuvalu?,Canberra,Which river flows through the capital city of the country that issues the currency used in Tuvalu?,Molonglo River,In which mountain range does the river that flows through the capital city of the country that issues the currency used in Tuvalu originate?,Great Dividing Range,"['Australian dollar', 'Tuvaluan dollar', 'New Zealand dollar', 'Fijian dollar']",A. New Zealand dollar  B. Tuvaluan dollar  C. Australian dollar  D. Fijian dollar,C
places_country,Republic of the Congo,located in/on physical feature,Central Africa,What is the located in/on physical feature of Republic of the Congo?,Congo River,0.0,In which region is the Republic of the Congo located?,Is the Republic of the Congo located in Central Africa?,Is the Republic of the Congo located in the Congo River?,What is the capital city of the Republic of the Congo?,Which country is located in Central Africa?,Which river is the Republic of the Congo located on?,Congo River,What is the length of the river that the Republic of the Congo is located on?,"4,700 kilometers",Which ocean does the river that the Republic of the Congo is located on flow into?,Atlantic Ocean,"Which continent is the ocean located on that the river flows into, where the Republic of the Congo is situated?",Africa,"Which hemisphere is the continent located in that contains the ocean into which the river flows, where the Republic of the Congo is situated?",Southern Hemisphere,"['Central Africa', 'Congo River', 'West Africa', 'East Africa']",A. Central Africa  B. West Africa  C. Congo River  D. East Africa,A
places_country,Dominica,head of state,Charles Savarin,Who is the head of state of Dominica?,Charles III,0.0,Who serves as the head of state for Dominica?,Is Charles Savarin the head of state of Dominica?,Is Charles III the head of state of Dominica?,What is the capital city of Dominica?,Of which country is Charles Savarin the head of state?,Who is the spouse of the head of state of Dominica?,Clara Savarin,What is the profession of the spouse of the head of state of Dominica?,Teacher,Which school did the spouse of the head of state of Dominica teach at?,Convent High School,In which city is the school located where the spouse of the head of state of Dominica taught?,Roseau,In which country is the city located where the school is situated that the spouse of the head of state of Dominica taught?,Dominica,"['Charles Savarin', 'Charles III', 'Roosevelt Skerrit', 'Eliud Williams']",A. Charles III  B. Eliud Williams  C. Roosevelt Skerrit  D. Charles Savarin,D
places_country,Mauritania,economy of topic,economy of Mauritania,What is the economy of topic of Mauritania?,Agriculture,0.0,Can you describe the economy of Mauritania?,Is the economy of topic of Mauritania the economy of Mauritania?,Is the economy of topic of Mauritania agriculture?,What is the capital city of Mauritania?,Which country's economy is referred to as the economy of Mauritania?,What is the main export product of the economy of Mauritania?,Iron ore,Which country is the largest importer of the main export product of the economy of Mauritania?,China,What is the capital city of the country that is the largest importer of the main export product of the economy of Mauritania?,Beijing,What is the population of the capital city of the country that is the largest importer of the main export product of the economy of Mauritania?,21 million,What is the GDP of the country whose capital city has a population of 21 million and is the largest importer of the main export product of the economy of Mauritania?,14.34 trillion USD,"['economy of Mauritania', 'Agriculture', 'Tourism', 'Mining']",A. economy of Mauritania  B. Agriculture  C. Tourism  D. Mining,A
places_country,Afghanistan,economy of topic,economy of Afghanistan,What is the economy of topic of Afghanistan?,Agriculture,0.0,What is the economic topic related to Afghanistan?,Is the economy of Afghanistan the economy of topic of Afghanistan?,Is agriculture the economy of topic of Afghanistan?,What is the capital city of Afghanistan?,What country has the economy of Afghanistan as its economy of topic?,What is the primary export product of the economy of Afghanistan?,Opium,Which country is the largest importer of the primary export product of the economy of Afghanistan?,Iran,What is the capital city of the largest importer of the primary export product of the economy of Afghanistan?,Tehran,What is the population of the capital city of the largest importer of the primary export product of the economy of Afghanistan?,Approximately 8.7 million,What is the official language spoken in the capital city of the largest importer of the primary export product of the economy of Afghanistan?,Persian (Farsi),"['economy of Afghanistan', 'Agriculture', 'Tourism', 'Manufacturing']",A. economy of Afghanistan  B. Manufacturing  C. Agriculture  D. Tourism,A
places_country,Nigeria,official symbol,Costus spectabilis,What is the official symbol of Nigeria?,Coat of Arms,0.0,Can you tell me the official symbol of Nigeria?,Is the official symbol of Nigeria Costus spectabilis?,Is the official symbol of Nigeria the Coat of Arms?,What is the capital city of Nigeria?,Which country has Costus spectabilis as its official symbol?,What is the national animal that is an official symbol of Nigeria?,Eagle,What is the primary color of the national flag that is an official symbol of Nigeria?,Green,What is the meaning of the primary color of the national flag that is an official symbol of Nigeria?,Agriculture,Which sector is represented by the primary color of the national flag that is an official symbol of Nigeria?,Agricultural sector,What is the main export product of the sector represented by the primary color of the national flag that is an official symbol of Nigeria?,Oil,"['Costus spectabilis', 'Coat of Arms', 'Green and White Flag', 'Eagle']",A. Coat of Arms  B. Costus spectabilis  C. Eagle  D. Green and White Flag,B
places_country,Senegal,railway traffic side,right,What is the railway traffic side of Senegal?,Sénégal Railways,0.0,On which side does railway traffic operate in Senegal?,Is the railway traffic side of Senegal the right?,Is the railway traffic side of Senegal Sénégal Railways?,What is the capital city of Senegal?,In which country is the railway traffic side right?,Which country has the same railway traffic side as Senegal?,France,What is the capital city of the country that has the same railway traffic side as Senegal?,Paris,Which river flows through the capital city of the country that has the same railway traffic side as Senegal?,Seine,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Senegal?,777 kilometers,Into which body of water does the river that flows through the capital city of the country that has the same railway traffic side as Senegal empty?,English Channel,"['right', 'Sénégal Railways', 'left', 'center']",A. center  B. Sénégal Railways  C. left  D. right,D
places_country,Nigeria,madhhab,Malikism,What is the madhhab of Nigeria?,Shafi'i,0.0,Which Islamic school of thought is followed in Nigeria?,Is the madhhab of Nigeria Malikism?,Is the madhhab of Nigeria Shafi'i?,What is the capital city of Nigeria?,Which country follows Malikism as its madhhab?,What is the dominant madhhab in Nigeria?,Maliki,Who was the founder of the dominant madhhab in Nigeria?,Malik ibn Anas,In which city was the founder of the dominant madhhab in Nigeria born?,Medina,In which country is the city located where the founder of the dominant madhhab in Nigeria was born?,Saudi Arabia,On which continent is the country located where the city is situated that is the birthplace of the founder of the dominant madhhab in Nigeria?,Asia,"['Malikism', ""Shafi'i"", 'Hanafism', 'Hanbalism']",A. Hanbalism  B. Shafi'i  C. Malikism  D. Hanafism,C
places_country,Djibouti,replaces,French Territory of the Afars and the Issas,What does Djibouti replace?,Somalia,0.0,What entity did Djibouti take the place of?,Does Djibouti replace the French Territory of the Afars and the Issas?,Does Djibouti replace Somalia?,What is the capital city of Djibouti?,Which country replaces the French Territory of the Afars and the Issas?,What currency did Djibouti replace?,Djiboutian franc,Which country uses the currency that Djibouti replaced?,France,What is the capital city of the country that uses the currency Djibouti replaced?,Paris,What river flows through the capital city of the country that uses the currency Djibouti replaced?,Seine,Into which body of water does the river that flows through the capital city of the country that uses the currency Djibouti replaced empty?,English Channel,"['French Territory of the Afars and the Issas', 'Somalia', 'Eritrea', 'Ethiopia']",A. Eritrea  B. French Territory of the Afars and the Issas  C. Ethiopia  D. Somalia,B
places_country,Canada,official symbol,North American beaver,What is the official symbol of Canada?,Maple leaf,0.0,Which animal is recognized as an official symbol of Canada?,Is the North American beaver the official symbol of Canada?,Is the Maple leaf the official symbol of Canada?,What is the capital city of Canada?,Which country has the North American beaver as an official symbol?,What is the national animal of the country whose official symbol is the maple leaf?,Beaver,What is the primary habitat of the national animal of the country whose official symbol is the maple leaf?,Forests and wetlands,Which continent is home to the primary habitat of the national animal of the country whose official symbol is the maple leaf?,North America,Which country is located on the continent that is home to the primary habitat of the national animal of the country whose official symbol is the maple leaf?,United States,What is the capital city of the country located on the continent that is home to the primary habitat of the national animal of the country whose official symbol is the maple leaf?,"Washington, D.C.","['North American beaver', 'Maple leaf', 'Bald eagle', 'Grizzly bear']",A. North American beaver  B. Bald eagle  C. Maple leaf  D. Grizzly bear,A
places_country,Denmark,driving side,right,What is the driving side of Denmark?,Left,0.0,On which side of the road do people drive in Denmark?,Is the driving side of Denmark the right side?,Is the driving side of Denmark the left side?,What is the capital city of Denmark?,In which country is the driving side the right side?,Which country has the same driving side as Denmark?,Germany,What is the capital of the country that has the same driving side as Denmark?,Berlin,Which river flows through the capital of the country that has the same driving side as Denmark?,Spree,Which sea does the river that flows through the capital of the country with the same driving side as Denmark eventually flow into?,Baltic Sea,Which country borders the sea that the river flowing through the capital of the country with the same driving side as Denmark eventually flows into?,Poland,"['Right', 'Left', 'Center', 'Both']",A. Both  B. right  C. Left  D. Center,B
places_country,Indonesia,history of topic,History of Indonesia,What is the history of topic of Indonesia?,"Ancient, Colonial, Nationalist",0.0,Can you tell me about the history of Indonesia?,Is the history of topic of Indonesia the History of Indonesia?,Is the history of topic of Indonesia Ancient?,What is the capital city of Indonesia?,What country has the History of Indonesia as its history of topic?,Who was the first president in the history of Indonesia?,Sukarno,What was the name of the movement led by the first president in the history of Indonesia?,Indonesian National Revolution,"In which year did the Indonesian National Revolution, led by the first president of Indonesia, begin?",1945,Which colonial power did Indonesia fight against during the Indonesian National Revolution that began in 1945?,Netherlands,What was the name of the agreement that officially recognized Indonesia's independence from the Netherlands?,Dutch-Indonesian Round Table Conference Agreement,"['History of Indonesia', 'Ancient, Colonial, Nationalist', 'History of Southeast Asia', 'Indonesian Culture']","A. History of Southeast Asia  B. History of Indonesia  C. Ancient, Colonial, Nationalist  D. Indonesian Culture",B
places_country,Nigeria,history of topic,history of Nigeria,What is the history of topic of Nigeria?,Ancient Kingdoms,0.0,Can you tell me about the history of Nigeria?,Is the history of topic of Nigeria the history of Nigeria?,Is the history of topic of Nigeria Ancient Kingdoms?,What is the capital city of Nigeria?,What country has the history of Nigeria as its history of topic?,Who was the first president in the history of Nigeria?,Nnamdi Azikiwe,Which political party did the first president in the history of Nigeria belong to?,National Council of Nigeria and the Cameroons (NCNC),Who was the founder of the political party that the first president in the history of Nigeria belonged to?,Herbert Macaulay,What was the profession of the founder of the political party that the first president in the history of Nigeria belonged to?,Engineer and Politician,Which institution did the founder of the political party that the first president in the history of Nigeria belonged to attend for his engineering studies?,Royal Institute of British Architects,"['history of Nigeria', 'Ancient Kingdoms', 'colonial period of Nigeria', 'modern Nigeria']",A. colonial period of Nigeria  B. Ancient Kingdoms  C. modern Nigeria  D. history of Nigeria,D
places_country,Botswana,anthem,Fatshe leno la rona,Who does Botswana anthem?,Kalanga,0.0,What is the national anthem of Botswana?,Is the national anthem of Botswana Fatshe leno la rona?,Is the national anthem of Botswana Kalanga?,What is the capital city of Botswana?,Which country's national anthem is Fatshe leno la rona?,Who composed the anthem of Botswana?,Kgalemang Tumediso Motsete,What is the nationality of the composer of the anthem of Botswana?,Botswanan,What is the official language of the country whose composer of the anthem is Botswanan?,English,What is the capital city of the country where the official language is English and the composer of the anthem is Botswanan?,Gaborone,Which river flows near the capital city of the country where the official language is English and the composer of the anthem is Botswanan?,Notwane River,"['Fatshe leno la rona', 'Kalanga', ""Nkosi Sikelel' iAfrika"", 'God Save the Queen']",A. Kalanga  B. Nkosi Sikelel' iAfrika  C. God Save the Queen  D. Fatshe leno la rona,D
places_country,Lithuania,located in/on physical feature,Baltic states,What is the located in/on physical feature of Lithuania?,Curonian Spit,0.0,Which physical feature is Lithuania located in?,Is Lithuania located in the Baltic states?,Is Lithuania located in the Curonian Spit?,What is the capital city of Lithuania?,Which country is located in the Baltic states?,What is the largest river that Lithuania is located on?,Neman River,Which sea does the largest river that Lithuania is located on flow into?,Baltic Sea,Which country borders the sea that the largest river Lithuania is located on flows into?,Sweden,What is the capital city of the country that borders the sea into which the largest river Lithuania is located on flows?,Stockholm,Which famous archipelago is located near the capital city of the country that borders the sea into which the largest river Lithuania is located on flows?,Stockholm Archipelago,"['Baltic states', 'Curonian Spit', 'Carpathian Mountains', 'Scandinavian Peninsula']",A. Carpathian Mountains  B. Baltic states  C. Curonian Spit  D. Scandinavian Peninsula,B
places_country,People's Republic of China,founded by,Chinese Communist Party,What was People's Republic of China founded by?,Mao Zedong,0.0,Who established the People's Republic of China?,Was the People's Republic of China founded by the Chinese Communist Party?,Was the People's Republic of China founded by Mao Zedong?,What is the capital city of the People's Republic of China?,Who was the Chinese Communist Party responsible for founding?,Who was the first leader of the People's Republic of China?,Mao Zedong,What political party did the first leader of the People's Republic of China belong to?,Communist Party of China,In which year was the political party that the first leader of the People's Republic of China belonged to founded?,1921,In which city was the political party that the first leader of the People's Republic of China belonged to founded?,Shanghai,Which country is the city located in where the political party that the first leader of the People's Republic of China belonged to was founded?,China,"['Chinese Communist Party', 'Mao Zedong', 'Nationalist Party', 'Sun Yat-sen']",A. Mao Zedong  B. Nationalist Party  C. Chinese Communist Party  D. Sun Yat-sen,C
places_country,Philippines,flag,flag of the Philippines,What is the flag of Philippines?,"White, blue, and red",0.0,Can you describe the flag of the Philippines?,Is the flag of the Philippines the flag of the Philippines?,"Is the flag of the Philippines white, blue, and red?",What is the capital city of the Philippines?,Which country has the flag of the Philippines?,What are the colors of the flag of the Philippines?,"Red, Blue, White, and Yellow",What does the color red on the flag of the Philippines symbolize?,Courage and patriotism,Which historical event is symbolized by the color red on the flag of the Philippines?,The Philippine Revolution,Who was the leader of the Philippine Revolution symbolized by the color red on the flag of the Philippines?,Emilio Aguinaldo,"In which year did the leader of the Philippine Revolution, symbolized by the color red on the flag of the Philippines, declare independence from Spain?",1898,"['flag of the Philippines', 'White, blue, and red', 'flag of Japan', 'flag of the United States']","A. flag of the United States  B. White, blue, and red  C. flag of the Philippines  D. flag of Japan",C
places_country,Costa Rica,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Costa Rica?,Christopher Columbus,0.0,Which source describes Costa Rica?,Is Costa Rica described by the Brockhaus and Efron Encyclopedic Dictionary?,Is Costa Rica described by Christopher Columbus?,What is the capital city of Costa Rica?,Which country is described by the Brockhaus and Efron Encyclopedic Dictionary?,Which organization described Costa Rica as a biodiversity hotspot?,Conservation International,Who founded the organization that described Costa Rica as a biodiversity hotspot?,Spencer Beebe,Which university did the founder of the organization that described Costa Rica as a biodiversity hotspot attend?,Yale University,In which city is the university located that the founder of the organization that described Costa Rica as a biodiversity hotspot attended?,New Haven,In which state is the city located where the university is situated that the founder of the organization that described Costa Rica as a biodiversity hotspot attended?,Connecticut,"['Brockhaus and Efron Encyclopedic Dictionary', 'Christopher Columbus', 'Encyclopedia Britannica', 'World Book Encyclopedia']",A. World Book Encyclopedia  B. Christopher Columbus  C. Encyclopedia Britannica  D. Brockhaus and Efron Encyclopedic Dictionary,D
places_country,France,culture,culture of France,What is the culture of France?,Romantic,0.0,Can you describe the culture of France?,Is the culture of France the culture of France?,Is the culture of France Romantic?,What is the capital city of France?,Which country has the culture of France?,What is a famous cuisine that is part of France's culture?,French cuisine,What is a renowned dish in French cuisine?,Coq au vin,Which region in France is known for the dish Coq au vin?,Burgundy,What is a famous wine produced in the Burgundy region of France?,Pinot Noir,Which grape variety is primarily used to produce Pinot Noir in the Burgundy region of France?,Pinot Noir grape,"['culture of France', 'Romantic', 'French cuisine', 'French art']",A. French art  B. Romantic  C. culture of France  D. French cuisine,C
places_country,Uganda,anthem,"Oh Uganda, Land of Beauty",What does Uganda anthem?,"""Oh Uganda, Landlocked""",0.0,What is the national anthem of Uganda?,"Is the national anthem of Uganda 'Oh Uganda, Land of Beauty'?","Is the national anthem of Uganda 'Oh Uganda, Landlocked'?",What is the capital city of Uganda?,"Which country's national anthem is 'Oh Uganda, Land of Beauty'?",Who composed the anthem of Uganda?,George Wilberforce Kakoma,Which school did the composer of the anthem of Uganda attend?,Makerere University,In which city is the school located that the composer of the anthem of Uganda attended?,Kampala,In which district is the city located where the school that the composer of the anthem of Uganda attended is situated?,Kampala District,In which country is the district located where the city is situated that contains the school the composer of the anthem of Uganda attended?,Uganda,"['Oh Uganda, Land of Beauty', 'Oh Uganda, Landlocked', 'Uganda, My Homeland', 'Pearl of Africa']","A. Uganda, My Homeland  B. Pearl of Africa  C. Oh Uganda, Land of Beauty  D. ""Oh Uganda, Landlocked""",C
places_country,Benin,flag,flag of Benin,What is the flag of Benin?,Two horizontal yellow and red stripes,0.0,Can you describe the flag of Benin?,Is the flag of Benin the flag of Benin?,Is the flag of Benin two horizontal yellow and red stripes?,What is the capital city of Benin?,Which country has the flag of Benin?,What are the colors of the Benin flag?,"Green, yellow, and red",Which color on the Benin flag represents the savannahs in the north of the country?,Yellow,What is the symbolic meaning of the green color on the Benin flag?,Hope and revival,Which part of the Benin flag is green in color?,The vertical stripe on the hoist side,What is the proportion of the Benin flag?,2:3,"['flag of Benin', 'Two horizontal yellow and red stripes', 'flag of Nigeria', 'flag of Ghana']",A. Two horizontal yellow and red stripes  B. flag of Benin  C. flag of Ghana  D. flag of Nigeria,B
places_country,Sweden,located in/on physical feature,Scandinavia,What is the located in/on physical feature of Sweden?,Vättern,0.0,In which physical feature is Sweden located?,Is Sweden located in Scandinavia?,Is Sweden located in Vättern?,What is the capital city of Sweden?,Which country is located in Scandinavia?,Which sea is Sweden located on?,Baltic Sea,Which country borders the sea that Sweden is located on to the south?,Germany,What is the capital city of the country that borders the sea Sweden is located on to the south?,Berlin,Which river flows through the capital city of the country that borders the sea Sweden is located on to the south?,Spree River,In which country does the river that flows through the capital city of the country that borders the sea Sweden is located on originate?,Germany,"['Scandinavia', 'Vättern', 'Baltic Sea', 'Lapland']",A. Vättern  B. Scandinavia  C. Baltic Sea  D. Lapland,B
places_country,Russia,located in/on physical feature,Eurasia,What is the located in/on physical feature of Russia?,Lake Baikal,0.0,On which physical feature is Russia located?,Is Russia located in Eurasia?,Is Russia located in Lake Baikal?,What is the capital city of Russia?,Which country is located in Eurasia?,What is the largest river that Russia is located on?,Volga River,Which sea does the largest river that Russia is located on flow into?,Caspian Sea,Which country borders the sea that the largest river in Russia flows into?,Kazakhstan,What is the capital city of the country that borders the sea into which the largest river in Russia flows?,Nur-Sultan,Which river flows through the capital city of the country that borders the sea into which the largest river in Russia flows?,Ishim River,"['Eurasia', 'Lake Baikal', 'Siberia', 'Ural Mountains']",A. Lake Baikal  B. Siberia  C. Ural Mountains  D. Eurasia,D
places_country,Tunisia,replaces,French protectorate of Tunisia,What does Tunisia replace?,Libya,0.0,What did Tunisia take the place of?,Does Tunisia replace the French protectorate of Tunisia?,Does Tunisia replace Libya?,What is the capital city of Tunisia?,What replaces the French protectorate of Tunisia?,Who is the current president of the country that Tunisia replaces in the African Union?,Félix Tshisekedi,Which political party does the current president of the country that Tunisia replaces in the African Union belong to?,Union for Democracy and Social Progress,Who founded the political party that the current president of the country that Tunisia replaces in the African Union belongs to?,Étienne Tshisekedi,In which year was the political party founded by the person who founded the party that the current president of the country that Tunisia replaces in the African Union belongs to?,1982,Which country was the political party founded in that was established by the person who founded the party that the current president of the country that Tunisia replaces in the African Union belongs to?,Democratic Republic of the Congo,"['French protectorate of Tunisia', 'Libya', 'Algeria', 'Morocco']",A. Libya  B. Algeria  C. French protectorate of Tunisia  D. Morocco,C
places_country,Egypt,ethnic group,Egyptians,What is the ethnic group of Egypt?,Arab,0.0,Which ethnic group is associated with Egypt?,Is the ethnic group of Egypt Egyptians?,Is the ethnic group of Egypt Arab?,What is the capital city of Egypt?,Which country has Egyptians as its ethnic group?,What is the primary language spoken by the main ethnic group in Egypt?,Arabic,What is the predominant religion of the people who speak the primary language of the main ethnic group in Egypt?,Islam,What is the holy book of the predominant religion of the people who speak the primary language of the main ethnic group in Egypt?,Quran,In which century was the holy book of the predominant religion of the people who speak the primary language of the main ethnic group in Egypt revealed?,7th century,"Who was the prophet associated with the holy book revealed in the 7th century, which is followed by the predominant religion of the people who speak the primary language of the main ethnic group in Egypt?",Prophet Muhammad,"['Egyptians', 'Arab', 'Nubians', 'Berbers']",A. Egyptians  B. Berbers  C. Nubians  D. Arab,A
places_country,Seychelles,flag,flag of the Seychelles,What is the flag of Seychelles?,Five-pointed star,0.0,Can you describe the flag of Seychelles?,Is the flag of Seychelles the flag of the Seychelles?,Is the flag of Seychelles a five-pointed star?,What is the capital city of Seychelles?,Which country has the flag of the Seychelles?,What are the colors on the flag of Seychelles?,"Blue, yellow, red, white, green",Which color on the flag of Seychelles represents the sky and the sea?,Blue,What is the national bird of the country whose flag has blue representing the sky and the sea?,Seychelles black parrot,In which national park can you find the national bird of the country whose flag has blue representing the sky and the sea?,Praslin National Park,On which island is the national park located where you can find the national bird of the country whose flag has blue representing the sky and the sea?,Praslin Island,"['flag of the Seychelles', 'Five-pointed star', 'Union Jack', 'Tricolor flag']",A. Union Jack  B. Five-pointed star  C. Tricolor flag  D. flag of the Seychelles,D
places_country,Philippines,basic form of government,republic,What is the basic form of government of Philippines?,Unitary,0.0,What type of government does the Philippines have?,Is the basic form of government of the Philippines a republic?,Is the basic form of government of the Philippines a unitary?,What is the capital city of the Philippines?,Which country has a republic as its basic form of government?,Who is the current head of state of the Philippines' basic form of government?,Ferdinand Marcos Jr.,What is the official residence of the current head of state of the Philippines' basic form of government?,Malacañang Palace,In which city is the official residence of the current head of state of the Philippines' basic form of government located?,Manila,On which island is the city located that contains the official residence of the current head of state of the Philippines' basic form of government?,Luzon,In which region of the world is the island located that contains the city with the official residence of the current head of state of the Philippines' basic form of government?,Southeast Asia,"['republic', 'Unitary', 'monarchy', 'federal']",A. monarchy  B. federal  C. Unitary  D. republic,D
places_country,Malawi,named after,Lake Malawi,What was Malawi named after?,Maravi people,0.0,What is the origin of Malawi's name?,Was Malawi named after Lake Malawi?,Was Malawi named after the Maravi people?,What is the capital city of Malawi?,Which country was named after Lake Malawi?,Who was Malawi named after?,Maravi people,What language do the people Malawi was named after speak?,Chichewa,What is the official status of the language spoken by the people Malawi was named after?,National language,In which country is the national language spoken by the people Malawi was named after primarily used?,Malawi,What is the capital city of the country where the national language spoken by the people Malawi was named after is primarily used?,Lilongwe,"['Lake Malawi', 'Maravi people', 'Zambezi River', 'Great Rift Valley']",A. Maravi people  B. Zambezi River  C. Lake Malawi  D. Great Rift Valley,C
places_country,Italy,history of topic,history of Italy,What is the history of topic of Italy?,Ancient,0.0,Can you tell me about the history of Italy?,Is the history of topic of Italy the history of Italy?,Is the history of topic of Italy Ancient?,What is the capital city of Italy?,What country has the history of Italy as its history of topic?,Who was the first king in the history of Italy?,Victor Emmanuel II,Which kingdom did the first king in the history of Italy rule before becoming the king of Italy?,Kingdom of Sardinia,What was the capital of the kingdom that the first king in the history of Italy ruled before becoming the king of Italy?,Turin,In which region of Italy is the capital of the kingdom that the first king in the history of Italy ruled located?,Piedmont,What is the primary language spoken in the region where the capital of the kingdom that the first king in the history of Italy ruled is located?,Italian,"['history of Italy', 'Ancient', 'Renaissance', 'Roman Empire']",A. Ancient  B. Renaissance  C. history of Italy  D. Roman Empire,C
places_country,Syria,history of topic,history of Syria,What is the history of topic of Syria?,Ancient,0.0,Can you tell me about the history of Syria?,Is the history of Syria the history of topic of Syria?,Is the history of topic of Syria Ancient?,What is the capital city of Syria?,What country has the history of Syria as its history of topic?,Who was the leader of Syria during the 1970s?,Hafez al-Assad,What political party did the leader of Syria during the 1970s belong to?,Ba'ath Party,In which year was the political party that the leader of Syria during the 1970s belonged to founded?,1947,In which city was the political party that the leader of Syria during the 1970s belonged to founded?,Damascus,What is the current capital of the country where the political party that the leader of Syria during the 1970s belonged to was founded?,Damascus,"['history of Syria', 'Ancient', 'modern history', 'medieval history']",A. medieval history  B. modern history  C. Ancient  D. history of Syria,D
places_country,Cook Islands,has part(s),Mangaia,What does Cook Islands have part(s )?,Islands,0.0,What is a part of the Cook Islands?,Does Cook Islands have Mangaia as a part?,Does Cook Islands have Islands as a part?,What is the capital of the Cook Islands?,Which country does Mangaia belong to?,What is the capital of one of the parts of the Cook Islands?,Avarua,Which island is the capital of one of the parts of the Cook Islands located on?,Rarotonga,What is the population of the island where the capital of one of the parts of the Cook Islands is located?,"Approximately 10,000",What is the primary language spoken on the island where the capital of one of the parts of the Cook Islands is located?,Cook Islands Māori,What is the currency used in the region where the primary language is Cook Islands Māori?,New Zealand Dollar,"['Mangaia', 'Islands', 'Rarotonga', 'Aitutaki']",A. Aitutaki  B. Islands  C. Mangaia  D. Rarotonga,C
places_country,People's Republic of China,culture,Chinese culture,What is the culture of People's Republic of China?,Complex,0.0,Can you tell me about the culture in the People's Republic of China?,Is the culture of the People's Republic of China Chinese culture?,Is the culture of the People's Republic of China Complex?,What is the capital city of the People's Republic of China?,Which country has Chinese culture as its culture?,What is a traditional festival celebrated in the culture of the People's Republic of China?,Chinese New Year,What is a traditional food commonly eaten during the Chinese New Year in the culture of the People's Republic of China?,Dumplings,What is a key ingredient in the traditional food commonly eaten during the Chinese New Year in the culture of the People's Republic of China?,Pork,Which region in the People's Republic of China is known for producing a key ingredient in the traditional food commonly eaten during the Chinese New Year?,Sichuan,What is the capital city of the region in the People's Republic of China known for producing a key ingredient in the traditional food commonly eaten during the Chinese New Year?,Chengdu,"['Chinese culture', 'Complex', 'Japanese culture', 'Indian culture']",A. Indian culture  B. Chinese culture  C. Japanese culture  D. Complex,B
places_country,Hungary,head of state,Tamás Sulyok,Who is the head of state of Hungary?,Katalin Novák,0.0,Who holds the position of head of state in Hungary?,Is Tamás Sulyok the head of state of Hungary?,Is Katalin Novák the head of state of Hungary?,What is the capital city of Hungary?,Of which country is Tamás Sulyok the head of state?,Who is the spouse of the head of state of Hungary?,Anita Herczegh,What is the profession of the spouse of the head of state of Hungary?,Judge,Which court does the spouse of the head of state of Hungary serve as a judge?,Constitutional Court of Hungary,In which city is the Constitutional Court of Hungary located where the spouse of the head of state serves as a judge?,Budapest,In which country is the city located where the Constitutional Court of Hungary is situated?,Hungary,"['Tamás Sulyok', 'Katalin Novák', 'János Áder', 'Viktor Orbán']",A. Katalin Novák  B. Viktor Orbán  C. János Áder  D. Tamás Sulyok,D
places_country,Uzbekistan,head of government,Abdulla Nigmatovich Aripov,Who is the head of government of Uzbekistan?,Shavkat Mirziyoyev,0.0,Who serves as the head of government in Uzbekistan?,Is Abdulla Nigmatovich Aripov the head of government of Uzbekistan?,Is Shavkat Mirziyoyev the head of government of Uzbekistan?,What is the capital city of Uzbekistan?,Which country has Abdulla Nigmatovich Aripov as its head of government?,Who is the spouse of the head of government of Uzbekistan?,Ziroatkhon Hoshimova,Which university did the spouse of the head of government of Uzbekistan attend for their undergraduate studies?,Tashkent State University of Economics,In which city is the university that the spouse of the head of government of Uzbekistan attended located?,Tashkent,In which region is the city located where the university that the spouse of the head of government of Uzbekistan attended is situated?,Tashkent Region,In which country is the region located where the city is situated that contains the university the spouse of the head of government of Uzbekistan attended?,Uzbekistan,"['Abdulla Nigmatovich Aripov', 'Shavkat Mirziyoyev', 'Rustam Azimov', 'Sodiq Safoyev']",A. Abdulla Nigmatovich Aripov  B. Rustam Azimov  C. Sodiq Safoyev  D. Shavkat Mirziyoyev,A
